filename: us.koller.cameraroll.debug-v1.0.4.log
leak-424-7: yes
leak-828-8: yes
leak-854-5: yes
leak-758-0: yes
leak-110-21: yes
leak-422-10: yes
leak-852-21: yes
leak-750-3: yes
leak-868-17: yes
leak-724-3: yes
leak-568-3: yes
leak-742-9: yes
leak-1299-1: yes
leak-172-16: yes
leak-854-21: yes
leak-256-3: yes
leak-421-4: yes
leak-563-0: yes
leak-409-12: yes
leak-170-11: yes
leak-417-9: yes
leak-442-6: yes
leak-871-19: yes
leak-747-3: yes
leak-712-12: yes
leak-558-12: yes
leak-152-3: yes
leak-862-17: yes
leak-351-6: yes
leak-839-7: yes
leak-893-0: yes
leak-420-11: yes
leak-253-2: yes
leak-188-0: yes
leak-829-5: yes
leak-724-11: yes
leak-119-15: yes
leak-563-8: yes
leak-839-4: yes
leak-979-2: yes
leak-417-6: yes
leak-104-21: yes
leak-173-16: yes
leak-212-4: yes
leak-905-5: yes
leak-170-15: yes
leak-554-2: yes
leak-870-9: yes
leak-164-11: yes
leak-419-4: yes
leak-854-17: yes
leak-415-12: yes
leak-1301-8: yes
leak-745-12: yes
leak-921-6: yes
leak-822-6: yes
leak-160-3: yes
leak-828-18: yes
leak-409-8: yes
leak-573-7: yes
leak-422-11: yes
leak-13-8: yes
leak-10-6: yes
leak-866-0: yes
leak-873-8: yes
leak-179-7: yes
leak-840-16: yes
leak-420-4: yes
leak-108-13: yes
leak-822-4: yes
leak-862-24: yes
leak-571-5: yes
leak-829-15: yes
leak-557-3: yes
leak-1300-6: yes
leak-415-10: yes
leak-838-21: yes
leak-959-4: yes
leak-11-3: yes
leak-167-11: yes
leak-560-2: yes
leak-856-17: yes
leak-429-0: yes
leak-854-16: yes
leak-406-2: yes
leak-427-0: yes
leak-868-9: yes
leak-561-3: yes
leak-918-5: yes
leak-152-6: yes
leak-12-6: yes
leak-243-0: yes
leak-861-21: yes
leak-566-3: yes
leak-552-0: yes
leak-417-5: yes
leak-102-8: yes
leak-409-6: yes
leak-344-0: yes
leak-870-7: yes
leak-117-2: yes
leak-120-24: yes
leak-552-4: yes
leak-558-9: yes
leak-567-7: yes
leak-420-8: yes
leak-558-6: yes
leak-117-4: yes
leak-21-6: yes
leak-861-5: yes
leak-854-15: yes
leak-750-17: yes
leak-423-8: yes
leak-1305-7: yes
leak-921-11: yes
leak-172-7: yes
leak-865-15: yes
leak-223-3: yes
leak-916-8: yes
leak-449-7: yes
leak-873-19: yes
leak-108-21: yes
leak-211-2: yes
leak-103-4: yes
leak-915-11: yes
leak-17-10: yes
leak-182-16: yes
leak-840-2: yes
leak-858-5: yes
leak-839-17: yes
leak-748-5: yes
leak-256-5: yes
leak-838-6: yes
leak-256-4: yes
leak-852-15: yes
leak-840-9: yes
leak-170-12: yes
leak-916-2: yes
leak-1039-8: yes
leak-563-5: yes
leak-822-5: yes
leak-120-4: yes
leak-439-7: yes
leak-871-16: yes
leak-110-24: yes
leak-345-1: yes
leak-117-15: yes
leak-158-3: yes
leak-102-2: yes
leak-111-9: yes
leak-1297-7: yes
leak-745-4: yes
leak-1297-4: yes
leak-418-12: yes
leak-1297-3: yes
leak-904-0: yes
leak-865-18: yes
leak-151-1: yes
leak-424-12: yes
leak-558-4: yes
leak-748-3: yes
leak-718-0: yes
leak-731-3: yes
leak-1469-0: yes
leak-421-11: yes
leak-556-2: yes
leak-354-1: yes
leak-557-5: yes
leak-745-0: yes
leak-1042-8: yes
leak-822-7: yes
leak-745-5: yes
leak-119-17: yes
leak-823-0: yes
leak-180-15: yes
leak-873-24: yes
leak-172-15: yes
leak-168-3: yes
leak-921-5: yes
leak-210-4: yes
leak-563-1: yes
leak-567-5: yes
leak-126-2: yes
leak-748-19: yes
leak-1040-8: yes
leak-860-0: yes
leak-552-7: yes
leak-843-0: yes
leak-264-0: yes
leak-552-12: yes
leak-873-18: yes
leak-569-7: yes
leak-977-1: yes
leak-262-1: yes
leak-742-3: yes
leak-176-11: yes
leak-209-1: yes
leak-164-3: yes
leak-871-24: yes
leak-207-1: yes
leak-1039-5: yes
leak-104-17: yes
leak-750-5: yes
leak-170-14: yes
leak-840-20: yes
leak-904-5: yes
leak-419-13: yes
leak-824-0: yes
leak-742-12: yes
leak-119-18: yes
leak-265-1: yes
leak-904-1: yes
leak-859-0: yes
leak-165-15: yes
leak-419-2: yes
leak-552-3: yes
leak-841-2: yes
leak-406-14: yes
leak-119-4: yes
leak-559-1: yes
leak-10-8: yes
leak-102-21: yes
leak-11-8: yes
leak-424-13: yes
leak-750-15: yes
leak-103-18: yes
leak-262-3: yes
leak-918-6: yes
leak-166-0: yes
leak-415-9: yes
leak-972-11: yes
leak-187-8: yes
leak-750-9: yes
leak-18-1: yes
leak-561-11: yes
leak-870-16: yes
leak-856-20: yes
leak-152-1: yes
leak-828-11: yes
leak-829-7: yes
leak-179-19: yes
leak-168-5: yes
leak-221-0: yes
leak-745-15: yes
leak-873-22: yes
leak-841-19: yes
leak-416-7: yes
leak-165-3: yes
leak-167-5: yes
leak-840-5: yes
leak-568-1: yes
leak-828-20: yes
leak-422-12: yes
leak-111-13: yes
leak-976-2: yes
leak-913-10: yes
leak-158-0: yes
leak-407-6: yes
leak-1439-0: yes
leak-573-4: yes
leak-552-8: yes
leak-167-16: yes
leak-418-4: yes
leak-1034-5: yes
leak-828-15: yes
leak-840-11: yes
leak-911-1: yes
leak-915-2: yes
leak-106-4: yes
leak-108-4: yes
leak-11-1: yes
leak-862-8: yes
leak-1298-11: yes
leak-102-15: yes
leak-10-2: yes
leak-123-24: yes
leak-406-6: yes
leak-858-21: yes
leak-226-0: yes
leak-871-25: yes
leak-856-19: yes
leak-1297-2: yes
leak-421-5: yes
leak-1464-0: yes
leak-151-0: yes
leak-555-0: yes
leak-828-16: yes
leak-829-8: yes
leak-748-9: yes
leak-553-4: yes
leak-750-19: yes
leak-420-5: yes
leak-164-19: yes
leak-972-7: yes
leak-450-7: yes
leak-560-12: yes
leak-1468-1: yes
leak-730-4: yes
leak-747-12: yes
leak-345-9: yes
leak-915-4: yes
leak-409-4: yes
leak-419-5: yes
leak-1304-7: yes
leak-211-4: yes
leak-419-1: yes
leak-570-4: yes
leak-1299-6: yes
leak-1037-8: yes
leak-852-19: yes
leak-12-2: yes
leak-16-2: yes
leak-408-3: yes
leak-407-13: yes
leak-167-7: yes
leak-103-17: yes
leak-568-0: yes
leak-556-1: yes
leak-119-9: yes
leak-1036-6: yes
leak-955-15: yes
leak-22-0: yes
leak-1039-6: yes
leak-409-14: yes
leak-959-7: yes
leak-1299-8: yes
leak-409-2: yes
leak-407-4: yes
leak-561-2: yes
leak-921-10: yes
leak-108-15: yes
leak-953-11: yes
leak-155-6: yes
leak-106-24: yes
leak-231-1: yes
leak-115-1: yes
leak-209-4: yes
leak-1034-6: yes
leak-560-8: yes
leak-177-12: yes
leak-152-4: yes
leak-179-3: yes
leak-104-15: yes
leak-749-0: yes
leak-103-6: yes
leak-410-5: yes
leak-911-8: yes
leak-103-21: yes
leak-344-7: yes
leak-839-6: yes
leak-876-0: yes
leak-978-1: yes
leak-561-12: yes
leak-104-2: yes
leak-103-15: yes
